 Simulation Result by Fortran 90 Coding
 
    i         t      dt       q_inj       q_oil       q_wat          WC         WOR             Wi             Np             Wp     Error_w     Error_o     p_inj    p_prod
  309   7037.03    30.0    39133.76     9894.16    26881.47    0.730959    2.716904    0.27539E+06    0.21768E+06    0.41116E+05   -0.35E-06    0.94E-07   3893.88   1507.17
  310   7067.03    30.0    39133.76     9771.55    27004.08    0.734293    2.763542    0.27656E+06    0.21797E+06    0.41926E+05   -0.32E-06    0.84E-07   3904.33   1521.60
  311   7097.03    30.0    39133.76     9650.82    27124.81    0.737576    2.810621    0.27773E+06    0.21826E+06    0.42740E+05   -0.30E-06    0.80E-07   3914.87   1536.09
  312   7127.03    30.0    39133.76     9532.00    27243.63    0.740807    2.858122    0.27891E+06    0.21854E+06    0.43557E+05   -0.29E-06    0.76E-07   3925.51   1550.56
  313   7157.03    30.0    39133.76     9414.95    27360.68    0.743989    2.906089    0.28008E+06    0.21883E+06    0.44378E+05   -0.27E-06    0.71E-07   3936.24   1565.00
  314   7187.03    30.0    39133.76     9299.59    27476.04    0.747126    2.954541    0.28126E+06    0.21911E+06    0.45202E+05   -0.25E-06    0.67E-07   3947.07   1579.42
  315   7217.03    30.0    39133.76     9185.43    27590.20    0.750231    3.003692    0.28243E+06    0.21938E+06    0.46030E+05   -0.25E-06    0.67E-07   3957.99   1593.90
  316   7247.03    30.0    39133.76     9072.05    27703.58    0.753314    3.053729    0.28360E+06    0.21965E+06    0.46861E+05   -0.21E-06    0.57E-07   3969.00   1608.54
  317   7277.03    30.0    39133.76     8959.71    27815.92    0.756368    3.104556    0.28478E+06    0.21992E+06    0.47696E+05   -0.20E-06    0.53E-07   3980.09   1623.18
  318   7300.00    23.0    39133.76     8874.64    27900.99    0.758682    3.143903    0.28568E+06    0.22013E+06    0.48337E+05   -0.20E-06    0.54E-07   3988.64   1634.40
 
RF =  75.009312%
